run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S0FINALFIX_DCC_SBVCHP-SBORC_Acetone_R227EA_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SBORC,Acetone,R227EA,42,FINISHED,0,3.2826740741729736,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SBORC_Acetone_R227EA_seed042_20260716T110657Z,
S0FINALFIX_DCC_SBVCHP-SRORC_R1233zdE_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SRORC,R1233zd(E),R134a,42,FINISHED,0,3.2729642391204834,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SRORC_R1233zdE_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SRVCHP-SRORC_R1233zdE_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SRVCHP_SRORC,R1233zd(E),R134a,42,FINISHED,0,3.2797069549560547,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SRVCHP-SRORC_R1233zdE_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SBVCHP-SRORC_R245fa_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SRORC,R245fa,R134a,42,FINISHED,0,3.280714988708496,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SRORC_R245fa_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SRVCHP-SRORC_R245fa_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SRVCHP_SRORC,R245fa,R134a,42,FINISHED,0,3.4852497577667236,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SRVCHP-SRORC_R245fa_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SBVCHP-SRORC_R600_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SRORC,R600,R134a,42,FINISHED,0,3.2764830589294434,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SRORC_R600_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SRVCHP-SRORC_R600_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SRVCHP_SRORC,R600,R134a,42,FINISHED,0,3.487334966659546,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SRVCHP-SRORC_R600_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SRVCHP-SRORC_R601_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SRVCHP_SRORC,R601,R134a,42,FINISHED,0,3.477896213531494,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SRVCHP-SRORC_R601_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SBVCHP-SRORC_R1234zeZ_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SBVCHP_SRORC,R1234ze(Z),R134a,42,FINISHED,0,3.6873340606689453,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SBVCHP-SRORC_R1234zeZ_R134a_seed042_20260716T110657Z,
S0FINALFIX_DCC_SRVCHP-SRORC_R1234zeZ_R134a_seed042_20260716T110657Z,S0FINALFIX,DC-C,SRVCHP_SRORC,R1234ze(Z),R134a,42,FINISHED,0,3.678269624710083,${CBSIM_RUNS_ROOT}/S0_REMEDIATION/BATCH_S0FINALFIX_20260716T110657Z/runs/S0FINALFIX_DCC_SRVCHP-SRORC_R1234zeZ_R134a_seed042_20260716T110657Z,
