    ITER   EVALS
       0       0
       1     100
       2     192
       3     284
       4     371
       5     465
       6     554
       7     649
       8     739
       9     831
      10     923
      11    1012
      12    1099
      13    1189
      14    1277
      15    1367
      16    1457
      17    1555
      18    1644
      19    1738
      20    1829
      21    1923
      22    2015
