eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,fluid_hp,fluid_he,position,T_hp_cs,T_he_cs
0.37541146035056383,22.641544714865894,0.17540100854383386,108.87919540980778,40.17219778933992,9.571878661372043,4.712789525446338,1.2150909702622874,36.16657496032394,0.7021044988252744,0.7762477134873632,0.5218193344256072,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.3438333705525601,17.545063759146643,0.20578748940763322,96.17613302840013,31.00144598305051,16.98140106175225,4.056529992502227,2.7529421199890294,20.6144422494608,0.7847830361455377,0.7920889076579725,0.45563958804260285,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.3271922244154311,39.04189189258174,0.20001373800936925,125.7502005708553,69.46567075376211,13.58318472913979,11.32897897745173,1.4062401843921255,39.18214003541385,0.7725430918249776,0.7994206006402454,0.4901529805766239,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.3702179454799952,19.963725177216826,0.18793296277962993,99.93361906837396,35.30696153824108,12.918057228406122,13.740941529474249,2.736442209792016,28.989468219190975,0.7583905251959989,0.7757723589256723,0.4634162353612939,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.42231161100241243,16.30876076069605,0.10422761528591,103.2375748655468,28.923519644739276,4.084931568109415,6.026360595514406,1.2550771569587462,22.561234332182682,0.7436094001734463,0.7785856355718994,0.5273724412928145,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.3090963677996732,33.02645931832019,0.20795530795764744,124.80193823758698,58.83745218430861,15.50718035353288,9.024572918623399,2.298001619324182,30.56202005954673,0.7777953544835307,0.7609199877107731,0.5270249784773355,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.3303476157445318,34.721912140177984,0.13830887568285835,119.75942952437309,61.68464744779454,7.698646399469041,11.038379556475501,2.3747359644929995,47.969963687908404,0.7611127366680611,0.7278450752237415,0.47819303232994403,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.32956422124698065,32.206149274254436,0.21022548198237528,114.41825166328874,57.11768726825838,17.393279966056884,7.004475270364286,1.5106959951318972,44.6923812773035,0.7728922116467472,0.7962361600241412,0.5415814487845152,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.44023818590290714,11.824000219253001,0.1336836508669071,78.82917001591599,20.77139526981596,9.721425072204342,9.645737134716288,2.9256634847974943,19.150450927391898,0.7810339961641682,0.7382048204919264,0.5134315690688966,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.32008954583948807,32.59992338557846,0.2108118873079969,123.48076096453974,58.04959360934354,17.2763719293564,12.373832277106786,1.6253494724037494,44.994831090445835,0.7952057729696396,0.7185482328725525,0.5140990909520593,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.36318124979677313,33.794493609933404,0.13207089205283098,123.82012231846565,60.16478795260745,6.0285010792580636,6.571811108840958,1.4761796197328936,45.415259788001954,0.7818161508835566,0.7259934815113506,0.5167866043973737,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.35673927815985956,17.436782357571666,0.21154252187288078,101.69505054317098,30.889574978372,15.463405919778953,9.333027434852896,0.8029477926322228,19.02101463951506,0.7878138577637589,0.7875927555337909,0.47267570831869965,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.40202413879611215,19.265844454796298,0.0674918974138904,101.13988538805833,34.099563637848526,2.539710632897567,13.849511639978969,2.043713346564025,30.0155940778863,0.7825652446224436,0.7983884614656668,0.49798389101065743,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.35744054838329337,17.329403253236865,0.21211879103852396,101.89643197094645,30.703370311273957,16.20974823113186,9.804072490548956,2.532603886935555,24.728146462908654,0.7978114981473361,0.7503361652056465,0.5149488121836239,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.34142805986536917,20.09065508678495,0.22462116035417637,106.38603164705616,35.63572702692089,19.19240927451157,6.213446671607702,0.750174289414713,33.718079914092975,0.7837168633181708,0.7690821958358179,0.47658763760778566,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.32782400446954646,34.53338391561274,0.15062524452115775,120.88137323966379,61.384372602288295,8.48360825819984,13.19480665659161,1.6300286066304208,42.11766759006931,0.7917831310211124,0.7261869445531043,0.5347850156607481,R1233zd(E),R1234ze(E),position3,60.0,15.0
0.2923126496713188,39.183372277599176,0.04867547632220172,118.93362331002334,69.50153504663822,1.9055385568544319,13.444484175700318,1.5584080044108577,37.904055053443095,0.7372798532162275,0.7203567288609549,0.5381171947812422,R1233zd(E),R227ea,position3,60.0,15.0
0.40274870931196355,18.620543787498907,0.12990259175448896,84.91998613444258,32.72583853672685,9.501249628119442,5.756330949068968,0.8603966707086321,26.03610290528328,0.7999899786620607,0.7881315192646379,0.5348411085939009,R1233zd(E),R227ea,position3,60.0,15.0
0.40378724074544436,22.481902287842672,0.035613178145205586,93.90482027309173,39.6209262026104,1.6691747139091653,3.3627636225718476,0.6516827337138545,27.31217086383335,0.7282334941430152,0.7805647287239984,0.5107153009210641,R1233zd(E),R227ea,position3,60.0,15.0
0.3380224757622221,26.96208645482336,0.19904318671758675,112.44925965785848,47.84992338509197,13.132553483375393,4.040335518363138,1.8850397899723599,26.900040466354305,0.7644967081194729,0.7977809601826079,0.5246544313402063,R1233zd(E),R227ea,position3,60.0,15.0
