wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.29606902262933915,23.796873029251024,0.2114446896377118,114.03195449739567,42.30691519415508,71.72503930324059,35.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.7248513049381631,109.03195449739567,0.38802308359211907
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.31698342014042724,20.63591663138491,0.268175000141307,115.3411187921171,36.7493463456155,78.59177244650161,35.0,5.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.7281158617167907,110.3411187921171,0.3330521454549627
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3185774644073712,10.730342211628583,0.2569404521325372,89.98476779065581,18.95204397331728,71.03272381733854,35.0,5.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.6469955642651231,84.98476779065581,0.22300518629411475
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.21376193363812546,33.68631084953458,0.15012902160904812,119.82409162195898,59.86433376802774,59.959757853931244,35.0,5.0,5.08400022297838,13.770252077546067,2.0956073093655885,20.960867773300972,0.6759158249801134,0.6548063816631507,0.6588130560411084,0.7387307874485916,114.82409162195898,0.5213569114495766
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,0.30296299738162547,21.023321562990763,0.17519159989884883,90.28050774027915,37.007827866845616,53.27267987343353,35.0,5.0,6.200801006862235,6.294564172929883,7.434261671340993,18.32677151033579,0.8103382467845043,0.7374538830370759,0.7253378689567062,0.6482197304527704,85.28050774027915,0.43395412207854756
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.23648501613004297,33.63363602351018,0.1922479309314196,116.98561479019301,59.694449266653145,57.29116552353987,35.0,5.0,10.279503469517458,11.116872089922515,4.3543289653757276,17.696234683725955,0.7397036523939448,0.7059549374082679,0.7126912654169117,0.7321084493199816,111.98561479019301,0.5330546193677798
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.2730829795853351,28.89365527621378,0.21132421564989398,108.87324538034542,51.16401707849559,57.70922830184983,35.0,5.0,9.390448871548081,14.170190123679236,6.069821494178837,27.88471205588398,0.6744122792999973,0.7951526051624234,0.5851876257331536,0.7111864572041521,103.87324538034542,0.49256203453691927
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.36460257946921115,10.552100559229256,0.2130693817006039,81.64392579552438,18.568185487072878,63.0757403084515,35.0,5.0,6.684217328328148,7.311038234635413,3.115644950854595,12.925434915941898,0.7624297421972202,0.8142015516827454,0.619082364276762,0.6085795490168923,76.64392579552438,0.24226558457626873
DC-A,SBVCHP_SBORC,R1233zd(E),R134a,0.29719759017084574,25.565547365467477,0.21048634254449025,91.7973305899468,44.97353972116835,46.823790868778445,35.0,5.0,10.588985592482954,11.460224032237662,8.186792748285814,27.017623275427162,0.8018421745528311,0.8306697778060407,0.6561755126582098,0.6543672507426777,86.7973305899468,0.5181442725886937
DC-A,SBVCHP_SBORC,R245fa,R134a,0.2289085980571529,33.18808240330333,0.19275176937309246,115.08964635912548,58.86053677597149,56.22910958315399,35.0,5.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.7274948099829802,110.08964635912548,0.5346600586213297
DC-A,SBVCHP_SBORC,R245fa,R152a,0.3469089358554071,15.669863945242447,0.22874616967655867,105.57316753514122,27.82720810942297,77.74595942571825,35.0,5.0,5.894642211173244,4.549011532620477,9.820627386309424,20.546265845713584,0.7759991028024547,0.8004466296536379,0.6752409986572453,0.701709703142066,100.57316753514122,0.27668620558957613
DC-A,SBVCHP_SBORC,R600,R1234ze(E),0.055478794250431555,34.20680478273674,0.043679321211647075,85.0868822763178,59.88791441060363,25.198967865714167,35.0,5.0,15.017879097773294,10.012932698639794,5.186025986294386,18.704638053805635,0.7791437448964167,0.6987475044754031,0.7485317573892029,0.6254068188533892,80.0868822763178,0.7477868123767988
DC-A,SBVCHP_SBORC,R600,R1234ze(E),0.25451586414373145,32.418395539694096,0.23005238284001375,118.97437366763876,57.61002141209458,61.364352255544176,35.0,5.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.7367829360704964,113.97437366763876,0.5054646896335789
DC-A,SBVCHP_SBORC,R600,R227ea,0.2803618799814765,28.428531226596196,0.2002047773597983,95.01312144956358,50.039921035631465,44.97320041393212,35.0,5.0,9.681344097156837,13.551138532391832,4.976512563475925,23.67804745994802,0.8487730388999652,0.8210394791105043,0.6721624595133899,0.6667152575437606,90.01312144956358,0.555918073163033
DC-A,SBVCHP_SBORC,R600,R134a,0.286695158351583,25.49611789687245,0.24865608139014458,108.08296246843538,45.1785586332482,62.90440383518718,35.0,5.0,16.805244145274806,10.094442204333486,3.679097129168184,21.688330777375143,0.8485982770714084,0.8220976184798412,0.6946203615066439,0.708972275518506,103.08296246843538,0.4382737704795993
DC-A,SBVCHP_SBORC,R600,R134a,0.2557663901022082,30.672179048576638,0.19195416554050326,98.08741993009583,54.02850526096147,44.05891466913437,35.0,5.0,10.759482598997929,11.362445189073602,7.567602656949935,23.199458736472227,0.799829520548679,0.8424281777985699,0.5687596140498099,0.6777222956385669,93.08741993009583,0.5804060881860758
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.30940910227862234,23.796873029251024,0.22097182279110614,114.03195449739567,42.30691519415508,71.72503930324059,35.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.7248513049381631,109.03195449739567,0.38802308359211907
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.2809752594008137,24.912164549834657,0.21069841816593665,95.8569321132739,43.90974644523447,51.94718566803943,35.0,5.0,10.388571968975954,11.354004424803039,8.661127938725372,17.214466746213088,0.7404142283412201,0.817911332050472,0.6482959797005267,0.6698105548776603,90.8569321132739,0.4832844938071533
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.32843583571503177,20.63591663138491,0.27786399758785263,115.3411187921171,36.7493463456155,78.59177244650161,35.0,5.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.7281158617167907,110.3411187921171,0.3330521454549627
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.32982067667275816,10.730342211628583,0.2660083755283885,89.98476779065581,18.95204397331728,71.03272381733854,35.0,5.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.6469955642651231,84.98476779065581,0.22300518629411475
DC-A,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.21832775692938772,33.68631084953458,0.15333568507756548,119.82409162195898,59.86433376802774,59.959757853931244,35.0,5.0,5.08400022297838,13.770252077546067,2.0956073093655885,20.960867773300972,0.6759158249801134,0.6548063816631507,0.6588130560411084,0.7387307874485916,114.82409162195898,0.5213569114495766
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.34812107449775304,11.565998239988534,0.21373914878768213,88.59378780623462,20.408789965712284,68.18499784052233,35.0,5.0,5.869743978050822,14.42007807096531,9.93798119052935,12.040777310432205,0.7945318768972839,0.783574917258083,0.7397995525323693,0.6411216576339596,83.59378780623462,0.2441424237530501
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.34785259593671314,9.260571458387755,0.21668986499413745,93.95378570781236,16.395214993377124,77.55857071443523,35.0,5.0,5.449353713136863,12.83933828553195,5.616194254543102,9.018467658170984,0.8042857845918696,0.7803192311605458,0.7078414543713745,0.6627462253428833,88.95378570781236,0.18431160476104633
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.3297970242460778,15.979176372962337,0.25136603987862643,107.57359065083467,28.399951864281054,79.17363878655362,35.0,5.0,9.447504113797528,5.449351889129937,3.4850312084112276,19.24676087339546,0.8088113421008527,0.7591999961630759,0.6305002973044295,0.7075270563343988,102.57359065083467,0.2768739173902552
DC-A,SBVCHP_SRORC,R1233zd(E),R227ea,0.26766105451342376,25.41433664312337,0.21794496368246832,104.13303082057158,44.95388924690684,59.17914157366474,35.0,5.0,11.390659993620968,11.675368892178609,4.416796078319866,10.776929431982445,0.6902202733771764,0.7666617397186782,0.7196883686493079,0.697376346191823,99.13303082057158,0.453470340559569
