wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-B,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.21779724372371928,23.792112318184373,0.19591319528402215,114.45824346186743,42.30691519415508,72.15132826771234,40.0,25.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.8323240048146718,89.45824346186743,0.47292360722674903
DC-B,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.2438075408970869,20.632671743325425,0.23204193829696024,115.67389602125158,36.7493463456155,78.92454967563609,40.0,25.0,12.707482358305143,14.392676238460647,5.398803042726261,14.044380578601428,0.8209109333459433,0.8427270221417313,0.6765965128286182,0.8345720140173044,90.67389602125158,0.405291356809047
DC-B,SBVCHP_SBORC,R1233zd(E),R134a,0.14490991150899737,33.630318244067546,0.13618961199341736,117.20092801946494,59.694449266653145,57.506478752811795,40.0,25.0,10.279503469517458,11.116872089922515,4.3543289653757276,17.696234683725955,0.7397036523939448,0.7059549374082679,0.7126912654169117,0.8373118327308671,92.20092801946494,0.6474387031554693
DC-B,SBVCHP_SBORC,R245fa,R1234ze(E),0.23988261529721389,14.987463818989173,0.2336404043374962,119.16795912877407,26.79316919318435,92.37478993558972,40.0,25.0,19.987138621711026,14.27849778464361,8.453344054447573,22.28687348701167,0.803394552344134,0.8177262274159117,0.7391879796431027,0.8407101508965741,94.16795912877407,0.28452532518565965
DC-B,SBVCHP_SBORC,R245fa,R152a,0.25832281482681385,15.662248201080084,0.22602077006090818,106.60365556834543,27.82720810942297,78.77644745892246,40.0,25.0,5.894642211173244,4.549011532620477,9.820627386309424,20.546265845713584,0.7759991028024547,0.8004466296536379,0.6752409986572453,0.8161847052619222,81.60365556834543,0.3410044306914275
DC-B,SBVCHP_SBORC,R245fa,R152a,0.1968598027024103,29.9737737147505,0.18673032352940028,119.00515647346853,53.30572985148812,65.69942662198042,40.0,25.0,12.144076059755673,12.34318361282135,8.103968490849706,28.80299201020499,0.7265083469137206,0.8133887034520279,0.732187851768341,0.8404342850678248,94.00515647346853,0.5670511262489395
DC-B,SBVCHP_SBORC,R600,R1234ze(E),0.16831383878812137,32.417297672112056,0.16344781563774535,119.04763269137885,57.61002141209458,61.43761127928427,40.0,25.0,18.965188241456648,11.994019494679723,8.129037599120565,25.09096984725932,0.7856252829363366,0.7859692084938692,0.7076509212665203,0.8405063522521283,94.04763269137885,0.6125621641231972
DC-B,SBVCHP_SBORC,R600,R227ea,0.20953172807700535,21.315668489029292,0.1981428298374033,110.00010595753521,37.85632128167753,72.14378467585769,40.0,25.0,12.350921773567954,11.285967513737194,1.7266297656161607,19.017669140026705,0.7970749705498502,0.7639198247481348,0.7336010460711373,0.8235296317454737,85.00010595753521,0.4453679304892865
