wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.47598521701572805,28.21956427104315,0.19147144212283818,124.45824346186743,50.341016882394534,74.11722657947288,50.0,5.0,5.546539176509149,9.137273454501535,9.988745727172024,7.11617805806113,0.7804277562873351,0.8286562209520223,0.7276011893934029,0.6232993329224319,119.45824346186743,0.4214109920213587
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.464098384404619,13.747492714222558,0.26955199761227416,102.1287129484661,24.391159970352536,77.73755297811357,50.0,5.0,13.717696250429729,2.2496177289251125,3.5586097237796857,6.648172358427196,0.8133239393071454,0.8063141958797893,0.6946506441848865,0.5366972480745648,97.1287129484661,0.25112203415372997
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.42497084635429405,22.538302735906022,0.27901940710378687,116.99828636930111,40.14198159853962,76.85630477076148,50.0,5.0,15.98081855925987,11.798703947519822,3.0822676741562383,9.093277207742467,0.8310255140400628,0.8100689016885215,0.5473854630511037,0.59820813818867,111.99828636930111,0.3584160338505197
DC-C,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.45736202096545253,23.7821510459692,0.2089544091278353,121.17948412028464,42.4223857962495,78.75709832403514,50.0,5.0,7.980914917871512,3.442883288146895,9.62255115108826,16.348020416190067,0.8489501759227231,0.7253433134249534,0.6717425109416346,0.6126682749476668,116.17948412028464,0.3651452415843759
DC-C,SRVCHP_SRORC,R1233zd(E),R227ea,0.4459300036400052,23.66943222752407,0.25119186189669507,110.03443345705526,42.00412262975921,68.03031082729605,50.0,5.0,12.505120802953027,7.803231949399513,4.83963533134799,5.699935534477115,0.8237704576252504,0.7974818669376372,0.5593748999640935,0.5715690700764444,105.03443345705526,0.3999081181975734
DC-C,SRVCHP_SRORC,R1233zd(E),R227ea,0.5167860194410876,14.357878146061159,0.23773971044126566,86.01828556934426,25.2811403121947,60.73714525714956,50.0,5.0,12.927098708526124,13.205733500937573,2.4980302172291156,21.371429934116286,0.8480744294941869,0.8090621105107144,0.6199414734212361,0.44456983156618257,81.01828556934426,0.31204240048447274
DC-C,SRVCHP_SRORC,R1233zd(E),R134a,0.4828817595696437,14.513007201525753,0.1998839571421685,97.06312902766764,25.681548051212502,71.38158097645514,50.0,5.0,8.145261052712485,14.525961326542916,9.37935518176029,20.05638003568682,0.8152170584997072,0.8252231881129957,0.5162762600958979,0.5112049690764237,92.06312902766764,0.2789558460857272
DC-C,SRVCHP_SRORC,R245fa,R1234ze(E),0.40000090675501365,28.314958624437196,0.2443485119012872,100.57564083226514,49.96219102119177,50.613449811073366,50.0,5.0,17.747140145925698,13.232068776374744,5.210480669540748,28.848363455831596,0.8162158179023898,0.8440731300302556,0.7226581643979219,0.5291687337051203,95.57564083226514,0.522750259230542
DC-C,SRVCHP_SRORC,R245fa,R1234ze(E),0.4557067316318544,17.81528095584685,0.2199566584028883,94.84368079922777,31.456959478557227,63.386721320670546,50.0,5.0,11.123338648617523,12.11267236234558,5.864829561066245,12.36760909888966,0.7855332446990433,0.7890545611907509,0.7447002112313853,0.49913004899520114,89.84368079922777,0.3501299056174422
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.37637884496471397,29.331645668935288,0.24267505747947393,101.78931260109317,51.76903944550784,50.02027315558533,50.0,5.0,19.43610260708288,14.203169069885918,4.493147343008319,20.471038875013395,0.8344805528649029,0.8219538618355614,0.518105659452185,0.5350726357003619,96.78931260109317,0.5348631791494214
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.3538657395249691,37.96153880732595,0.1773882157472786,122.0720925170294,67.45057181087039,54.62152070615902,50.0,5.0,7.726192780602826,14.649341594293793,9.553565912823268,6.3575167503941366,0.7096443342233438,0.7697158033641254,0.6127133129409053,0.6156214599695973,117.0720925170294,0.5761456070417377
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.3627436396877287,36.315928213919705,0.12856112698593944,115.38279601064389,64.36127009930253,51.02152591134136,50.0,5.0,5.23828886312955,3.645263021134426,1.2170650131301375,7.198521005028574,0.6912903058299781,0.7133525592504764,0.7407966390394803,0.592327775465474,110.38279601064389,0.5830733812277809
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.5313639884980935,22.383894195948347,0.194848679315584,100.14227656982084,39.559686030120965,60.58259053969987,50.0,5.0,7.519776497214613,4.260043717301134,8.270098711745145,11.642760547431887,0.8492633151970661,0.8450567001655162,0.6894115506569034,0.5270241408720504,95.14227656982084,0.41579503304285353
DC-C,SRVCHP_SRORC,R245fa,R227ea,0.4216189068161267,27.371302094636757,0.28760540415830027,115.90434110171182,48.64734981424452,67.2569912874673,50.0,5.0,17.370018556680574,6.461994743695757,5.7131890135170105,8.781250177136972,0.7940005362271894,0.8261739151856285,0.5522425940487092,0.5942449181612295,110.90434110171182,0.4386424312248463
DC-C,SRVCHP_SRORC,R245fa,R134a,0.4439070011185213,32.67845819192919,0.14802656082453694,116.17087213604884,57.993554620676896,58.177317515371946,50.0,5.0,5.4293932995448575,4.223772467009439,8.633122854428017,14.264381076894695,0.8269017525596585,0.7923572695360582,0.5462934638405228,0.5952177118397539,111.17087213604884,0.5216614163978625
DC-C,SRVCHP_SRORC,R245fa,R134a,0.35236788666119906,38.6318114307841,0.21214837638799905,125.44038590490223,68.73392975107943,56.7064561538228,50.0,5.0,13.137448058240143,5.5649799873617996,7.566977603438965,29.626577346396093,0.779550573588152,0.688418137079077,0.6658706819587816,0.6263711739056427,120.44038590490223,0.570688388572174
DC-C,SRVCHP_SRORC,R600,R1234ze(E),0.43112890842898494,36.309872532382315,0.23951500627993766,126.69977490668191,64.68143748300389,62.01833742367802,50.0,5.0,9.964009832718169,5.162582171511,6.183113283769675,5.083018782332011,0.7503651838270275,0.8251590374829986,0.7420524471460244,0.6302376069758098,121.69977490668191,0.531483624621335
DC-C,SRVCHP_SRORC,R600,R1234ze(E),0.5224514891093206,22.711849943327916,0.18684028360277957,110.75647858880583,40.33108513738712,70.42539345141871,50.0,5.0,6.169162752710454,2.412644152844301,9.7235909106855,19.11145480836214,0.8189221130274894,0.813540267812881,0.7002885933928201,0.5744941529779417,105.75647858880583,0.3813580565045034
DC-C,SRVCHP_SRORC,R600,R227ea,0.36346462533831014,30.974477229825915,0.24469640810803428,115.41039353667651,54.977910550854624,60.432482985821885,50.0,5.0,18.174536393940425,8.217544502086549,8.888973858479476,29.351319204691492,0.7812889678039912,0.7221735031761954,0.5336798941632759,0.5924296747927835,110.41039353667651,0.4979414418316684
DC-C,SRVCHP_SRORC,R600,R227ea,0.450807158224791,16.486820355546655,0.2664506701321966,88.45868449223968,29.04064635774317,59.41803813449651,50.0,5.0,17.648928989057623,12.236859244036227,4.418080107846291,9.612705970269088,0.823362126385561,0.8250822985682149,0.7443726814046814,0.46081105550873763,83.45868449223968,0.3479643434883458
