representative_id,repeat,wp,representative_type,component,density_kg_m3,enthalpy_J_kg,entropy_J_kgK,fluid,phase,pressure_Pa,quality,state,temperature_K
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,71.91086055024907,429959.97681455617,1683.3330721774842,R236ea,gas,1099427.98121822,-1.0,0,360.02783318955113
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,70.47975238821309,429720.62054837897,1683.4071411972202,R236ea,gas,1080490.6914335017,-1.0,1,359.47207045411943
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,69.0578346983567,429476.4093059894,1683.4829513819286,R236ea,gas,1061553.4016487836,-1.0,2,358.9114269459581
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,67.64498576691544,429227.17378313275,1683.560567107141,R236ea,gas,1042616.1118640653,-1.0,3,358.34569477940033
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,66.24108504970636,428972.73553647986,1683.6400563677798,R236ea,gas,1023678.822079347,-1.0,4,357.77465502023864
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,64.84601313503495,428712.9063103785,1683.7214910533232,R236ea,gas,1004741.5322946288,-1.0,5,357.1980768778022
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,63.45965170383852,428447.48730032874,1683.8049472494604,R236ea,gas,985804.2425099105,-1.0,6,356.61571682035117
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,62.08188348692671,428176.26834590314,1683.8905055693633,R236ea,gas,966866.9527251923,-1.0,7,356.0273176049734
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,60.712592219128986,427899.02704481565,1683.9782515182776,R236ea,gas,947929.662940474,-1.0,8,355.4326072120136
S5_DCA_compromise,1,DC-A,compromise,HE_EXPANSION,59.351662590182265,427615.52777870174,1684.0682758952455,R236ea,gas,928992.3731557558,-1.0,9,354.83129767251506
