2.12957554, 3.81496455, 11.68023784, 22.65525321, 148.55316689, 88.37965585, 4.17946753, 14.77324647, 0.79878628, 0.79936359, 0.47617092, 
6.30926755, 5.20417550, 12.56319279, 3.87919126, 113.90663412, 94.71792433, 4.50062683, 17.29624718, 0.79937557, 0.79284724, 0.54927500, 
6.30926755, 5.20417550, 12.56319279, 3.87919126, 113.90663412, 94.71792433, 4.50062683, 17.29624718, 0.79937557, 0.79284724, 0.54927500, 
66.41426206, 11.28423428, 12.97897845, 15.56136518, 134.90451639, 99.80948396, 3.70504214, 15.15035957, 0.77893887, 0.79266064, 0.47502135, 
7.15967812, 5.60183067, 12.61211299, 8.08605753, 122.10843500, 99.83912926, 3.63562150, 15.40337489, 0.79184274, 0.79603179, 0.47728527, 
56.07978971, 9.51350463, 10.39446263, 40.36523560, 147.38213420, 99.96815888, 6.94951193, 15.76958575, 0.79903820, 0.79657973, 0.54115537, 
7.61027105, 4.15740661, 12.56319279, 3.87919126, 113.90663412, 93.87232039, 4.88216480, 15.47690175, 0.79924857, 0.79298788, 0.52128261, 
66.41426206, 3.83123010, 13.01822465, 15.56136518, 142.28486008, 99.85453788, 3.70504214, 15.14776002, 0.77877921, 0.79479929, 0.47502135, 
2.01630471, 6.39047907, 15.01072403, 21.86331589, 136.03974153, 91.81316253, 14.20497601, 17.71680022, 0.79609668, 0.78881680, 0.48386762, 
2.12957554, 3.81256246, 11.68023784, 28.24851448, 148.09874783, 93.32524921, 4.17946753, 14.77324647, 0.79878628, 0.79321127, 0.49211127, 
0.70704988, 10.23904100, 11.17444923, 7.04665438, 122.10843500, 99.83912926, 3.63562150, 15.92446968, 0.79184274, 0.79603179, 0.47728010, 
66.41426206, 14.54128791, 13.01822465, 15.56136518, 142.35217544, 99.98660860, 3.70504214, 15.14981757, 0.77877921, 0.79479929, 0.47502135, 
38.21408451, 15.12235358, 3.27660617, 34.55016847, 149.36581805, 97.60746314, 3.35637054, 15.95519180, 0.79732595, 0.79596644, 0.53157195, 
43.75881443, 13.96108162, 13.01822465, 25.27202752, 149.78156952, 97.24354755, 18.08312755, 13.76081934, 0.78963560, 0.79463828, 0.47492924, 
53.27988330, 9.46514822, 10.39446263, 40.36523560, 149.80566922, 99.96815888, 6.94951193, 18.42062058, 0.79903820, 0.79784091, 0.54993485, 
2.04462179, 5.13324885, 15.05048036, 20.15329499, 133.83777082, 91.81316253, 14.20497601, 17.71680022, 0.79536190, 0.79292162, 0.48386762, 
