wp,n_pool,n_gf,n_no,rs_p2p_eth,C_p2p_eth,C_p2p_ex,rs_p2p_ex,dim_reduce,T_st_ht_no_min,T_st_ht_no_max,dT_st_sp_no_mean,eta_p2p_range,e_th_range
DC-A,4200,366,37,-0.9581471213313852,0.9990304937680001,0.4352841092934148,0.4123600213822908,True,106.75210342449112,119.93275321795696,57.280538756385624,0.418–0.496,29.3–34.0
DC-B,3600,311,32,-0.9860080409987857,0.9864876701138408,0.3374282800436416,0.7390636213889655,False,118.87408584493572,119.99615695749566,56.42854159921071,0.330–0.364,30.2–33.8
DC-C,4200,419,42,-0.9147865166562198,0.9960137393659781,0.6573177880330261,0.017797239544907865,False,112.62511185836878,127.17909246595836,63.88889384422241,0.490–0.598,30.4–39.6
DC-D,3600,361,37,-0.9093052165048274,0.997686562776703,0.4613868178467018,0.3997106205079382,True,121.2797062880284,126.90430757334282,63.95369246725005,0.365–0.448,32.5–39.4
DC-E,1400,262,28,-0.8402026154666761,0.9385350137109916,0.6271405914041733,-0.23729769187244448,False,115.19450405345044,126.77766524428074,72.45802674234507,0.564–0.731,35.2–45.1
DC-F,1200,217,22,-0.8535916606401212,0.997495951392517,0.6613957843103597,-0.19393686366457566,False,120.96681197019464,127.3656382287658,69.01923550573832,0.438–0.597,33.5–44.2
