T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label
103.6626136232554,20.05389762131673,16.40688332286271,14.890249406343811,2.9868240640250012,14.990093489778612,0.8994141275717623,0.8999816966423496,0.5495866145516268,0.3580438813029761,11.28432233498008,0.2860699106618746,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
98.31428172427889,25.687485704181398,0.1946483146773188,8.695837918440626,2.9922614323440206,14.993033437673095,0.8995080734578592,0.8999407703925802,0.5479575076126472,0.38133479030435213,14.507926420688593,0.013104959238262028,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
95.23854618107538,20.02868855437381,0.6297664035856814,8.968968919349088,2.9882495576951706,14.933072897795544,0.899075758841193,0.8999000942345904,0.5494505088477624,0.40794174828160673,11.31485738344654,0.03947883588107937,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
105.21038241633931,20.020908615584112,6.289577340938235,8.890504659003383,2.986123265803785,14.806574916767008,0.8856309409511435,0.8999024426836847,0.5498810485101983,0.3896263179834409,11.257416960082702,0.2270493557052714,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
122.4689970760329,69.9991590818851,15.077720613487665,14.971572958906698,0.5711628363840764,14.841380910112024,0.8994774323370568,0.8999007227429621,0.5498365449136609,0.19940261908017862,39.40380848147453,0.1678935076041539,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
122.39796878924523,64.5167748526839,1.7270891010305673,10.66671673147338,0.6032423872293745,14.99234471455673,0.8994796741233079,0.8999580515107319,0.5480903314900595,0.25633114811953595,36.288465314476355,0.09586974187992339,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
104.3553613778707,26.936894054980442,0.22990276684619004,8.99651388913738,2.920399458422168,14.8442988451197,0.8980741496894904,0.899887085620113,0.549183611793042,0.3750268455361264,15.174440401646217,0.01766596861288089,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
108.16254918404078,37.85128561480293,0.9828494130720911,9.531915346395124,1.080875385578889,14.990281333113272,0.8985489794897866,0.8999369801223681,0.5498998648581224,0.3309088159174816,21.331157617735155,0.06274031268698553,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
123.2826003779788,61.39321543943886,0.9583030384220805,13.416297532419888,1.7299315687047254,14.846149650643186,0.894751037163068,0.8994837952282312,0.5499725617070175,0.27901467620622394,34.500113153393215,0.07166586310379998,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
121.22508316881957,55.90673828605572,14.256214645502213,14.428670577965939,1.7928614225143458,14.940241487572848,0.8989056653032336,0.8997373596335728,0.5478033341180767,0.28861127804759157,31.418003206017122,0.23979606117905744,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
119.29165917220027,51.266421687987346,15.077720613487665,14.610411703504708,1.680489243377062,14.850081691617865,0.8988689191883003,0.8999033047449944,0.5499153814639482,0.29433886135519644,28.812848591044254,0.2456284306218882,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
123.72014638070644,63.88658214084482,15.168512474910763,14.793046596612339,0.9755673539904184,14.990786049448763,0.8869524785116731,0.8999121699609799,0.5498574858912567,0.269540697427691,35.90853173586639,0.22879785296123106,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
119.39591687615894,53.73695791458216,3.37956519591829,14.5152432310858,0.9009007466799073,14.792332445609294,0.8953868166735212,0.8999405544133713,0.5493320435156855,0.28973404930322566,30.213028113429765,0.1531511982937709,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
121.13532114048493,58.710779131857606,2.015906911329661,10.674531886711979,0.9125604135030586,14.790028480864208,0.8956787217677117,0.8999381958791469,0.5495657246807406,0.2834044126685181,33.01086659882983,0.11463557895527984,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
124.16117683420717,69.9991590818851,15.077720613487665,14.971572958906698,0.5711628363840764,14.841380910112024,0.8994774323370568,0.8999006495853191,0.5498365449136609,0.22286008334234914,39.37348414570803,0.18886769309708681,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
116.20624629047701,48.23777352924676,11.797215994968987,10.730207642265835,1.6673200863414266,14.94043733707703,0.8983953047484857,0.8998410574229551,0.5494586554472487,0.29769572258393634,27.135023736383108,0.23274841135260077,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
102.77282232219302,32.213849736949555,2.5058231355292686,9.116190580456651,0.8273067643582186,14.632788033352222,0.899493583543622,0.8998905727191855,0.5491116340639546,0.34813045411854165,18.179948723829778,0.11899139153326217,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
107.89235170404379,34.702271102537026,1.7058634738863532,9.582575658301147,2.9997231523670176,14.99236549967401,0.8949960073906946,0.899896940759968,0.5498124218757101,0.3439182791910594,19.547025887522828,0.09911020029562387,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
95.25545062481316,22.799522730168498,1.4846365516852806,9.001276590989711,2.9860848792668846,14.944338223053805,0.8980643465643015,0.8995009616609329,0.54913237384116,0.39168417640741815,12.887547472481165,0.07906826199373258,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
124.40379074086388,69.9991590818851,12.432919917150532,14.854139443142534,0.5724352898086542,14.818338657586498,0.8994851963670965,0.8999244688593492,0.5495776107208424,0.22729164580179703,39.36912687245169,0.18668474890070866,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
123.41909481601841,69.9991590818851,14.565792337542728,14.971572958906698,0.5711628363840764,14.809628639990859,0.8994774323370568,0.8999006495853191,0.5498347794786959,0.2125236497026739,39.38679714867455,0.17856930070598476,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
98.50868809015782,26.18269563445925,0.5667881877411087,8.505186046477618,2.969779110831772,14.942539335440337,0.8866097893807207,0.899483940943236,0.5498125949371278,0.37596030659113544,14.787767985728022,0.035766932276409036,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
126.15849824669573,68.23042485079256,0.6827913789780375,13.418590631922175,2.999934652763294,14.85027136759329,0.8987234691646794,0.8999393059857002,0.5493804274837709,0.24576569036906162,38.33320208150054,0.05118574672500293,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
108.3238350571525,33.869256549282014,14.184883754395312,14.594518646102518,2.9887482096875235,14.844438769722172,0.898059587418754,0.8998752546309596,0.54909844679803,0.32977194259253045,19.070802097112832,0.2588620235475262,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
113.96423097132485,42.91175330025005,3.2982668057880975,11.626041225104716,2.834093126356778,14.854025950829415,0.8947997592461779,0.8999291388840246,0.5493637349352722,0.3143884094953425,24.14060136268698,0.15199267978155395,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
116.6009779961403,40.844802264588886,3.222715827376259,9.711304223084042,2.921467504647458,14.83808629580439,0.8839682720769544,0.8999497560330575,0.5493744753013882,0.32596296170998623,22.940319593309862,0.16019504628612244,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
121.21693205057885,58.022350474365844,14.373459115327401,14.88526776221495,0.9710444135468058,14.945058130690631,0.8991467788253691,0.899857927489698,0.5494311707279905,0.2827599836811133,32.61878592124801,0.23529256391718298,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
127.07031763321281,69.9991590818851,11.729895303163504,14.86172745301843,2.9862726175421015,14.841557029336121,0.8987262436503953,0.8999358109421836,0.5498363277628653,0.24051896375836904,39.32109525691433,0.19783923110276533,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
108.27856499725652,33.869256549282014,11.20654198094152,9.947283171757105,2.998472654195242,14.847525556285024,0.8980693008867018,0.8998752546309596,0.5493889936076944,0.3382930168995836,19.071207933238657,0.24886205667675243,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
126.57821440050337,68.08666596357942,11.54946052504403,14.568898200266768,2.973936658274015,14.850309437393838,0.8987234691646794,0.8999374769313008,0.5493824037755931,0.25223738718328753,38.24419592998471,0.20647492147443475,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
106.11392947540791,29.06798310068165,1.5411579729925844,9.251032458966728,2.9863067996602846,14.82575441500473,0.8850917253916648,0.8999024030389943,0.5498713437310725,0.36247785408448496,16.368550744567493,0.09439365129226346,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
107.39548819523989,38.80335407853259,4.415826089089734,9.490562468774181,2.960021531209365,14.8510827240041,0.8994760066236013,0.8999038015741281,0.5499124754750343,0.32431760872872467,21.879507194434996,0.16466826030635717,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
124.68420443092784,69.94408300115448,14.374537071505902,14.88526776221495,0.532424267940113,14.945058130690631,0.8991593710030651,0.8998980211922306,0.5494347597853789,0.23290551750832525,39.33279130311346,0.19617921329664334,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
123.69979043808843,63.343839976532486,14.746079487166691,14.625647751223044,1.0445323295207536,14.942811348845346,0.8988356963857352,0.8997924472667758,0.5499032866234583,0.27416092984088325,35.600703622352974,0.23126325255089059,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
103.65616128040551,29.619120919329404,16.322053720606938,14.890249406343811,2.986319356550666,14.990093489778612,0.8994141275717623,0.8999816966423496,0.5495769097384945,0.33132391422436136,16.700053349931906,0.2638493813114638,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
122.22688506146356,60.073393174191445,2.038892577918358,14.862047112056969,1.027678351359937,14.98575396365956,0.8994774162534016,0.8999060766457749,0.5499131916827594,0.2800582282940982,33.767592904534396,0.1171490488065228,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
124.70983999469762,68.73434211185435,15.670989424167779,14.88526776221495,0.9712803135018656,14.798417826213962,0.8991980637097332,0.8999387862604704,0.549599539749148,0.2383613419557558,38.64498368166765,0.2041305329905759,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
124.70983999469762,68.73434211185435,15.670989424167779,14.88526776221495,0.9712803135018656,14.798417826213962,0.8991980637097332,0.8999387862604704,0.549599539749148,0.2383613419557558,38.64498368166765,0.2041305329905759,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
94.82534444191371,20.09308914400081,4.209108116800679,8.970313691951223,2.9878641552302536,14.933072897795544,0.899064368819764,0.8999058211877629,0.5494505088477624,0.4074997808781905,11.353582819463902,0.16897204780618325,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
102.58993738012018,25.38546502120679,14.459092093283218,14.480184877852608,2.9995731534342904,14.886676035169456,0.8982434142972776,0.8998625418967574,0.5495590276949187,0.35568074578355297,14.307765165532441,0.272218268216388,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
116.58010484012503,44.49299007654172,14.408220888329652,14.28866863457353,1.6389704730134098,14.94505646532484,0.8988373755943365,0.8997938537753828,0.5493814688797981,0.3085023649618163,25.0068588130959,0.25215676595770453,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
123.69979043808843,63.4346303459283,3.172535981348819,14.625647751223044,1.0410617876313741,14.942210630986716,0.8988374408695894,0.899940319430547,0.5493294309007685,0.274204252446234,35.65225137133583,0.14706822798765773,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
116.20624629047701,46.90807831199943,11.797215994968987,10.730207642265835,1.6673200863414266,14.974219814178008,0.8983953047484857,0.8998694204984178,0.5494586795087578,0.3030095301024919,26.38064756796986,0.23688157007068733,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
113.95703306616933,42.1065543535142,11.756938278151804,11.626041225104716,2.8524243615595664,14.93132968012318,0.899102204889579,0.899929053522695,0.5491464498342336,0.31755314202073853,23.68410922219955,0.24423351120703052,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
119.30538245921863,52.66733402293789,2.331080997508076,14.607886666984099,1.6265641097707317,14.797971125784567,0.8980077656006259,0.8974634520009575,0.549040424318588,0.2908889575350914,29.60734658463335,0.1266952844781336,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
104.91509095965156,28.478929498549377,6.507639933477158,9.123733491813743,2.880216168982747,14.852734852928652,0.8994895368316788,0.8999107523905865,0.5494229159097512,0.3690125026746049,16.043972074399242,0.21651593675367795,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
104.46149853006523,31.0212687976273,16.23442386131304,14.890249406343811,2.992708640690944,14.981304335748856,0.8994141275717623,0.8993941214923709,0.5491302334414574,0.3272230404406143,17.488950428780765,0.26112970030259025,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
94.82534444191371,20.472141450374313,4.209108116800679,9.57818231219513,2.9878641552302536,14.932628021865964,0.899064368819764,0.8999058211877629,0.5494445431413623,0.4013782024979211,11.568688469646387,0.16764052371415392,DC-D,SBVCHP_SRORC,R600,R227ea,Cold-plate liquid (Summer)
