T_st_ht,dT_st_sp,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,eta_p2p,energy_density_thermal,exergy_efficiency,wp,cb_config,fluid_hp,fluid_he,label
84.56349456528403,20.080034744039004,4.033017383663892,4.718531486791701,2.993610074471208,14.815993157190666,0.8986748622616039,0.7630524762529114,0.5496789925008572,0.37230359100875454,11.399783993240774,0.10949606546707016,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
111.81922628402795,69.99988269678546,7.499918352169245,4.852794344906051,2.9211061497476933,14.706297761846635,0.8986545204828189,0.815208172958031,0.5481596271150386,0.010244819048289874,39.59163848401458,0.0057087248167377105,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
87.70712017171228,20.025316840094042,19.115351087408442,9.42411174623728,2.995950314243221,14.80519692298861,0.8999156818989441,0.7261535016852837,0.5497643389289446,0.2724264935381962,11.35238672113955,0.20504471391388387,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
88.46971882564182,32.02618829248313,3.6915039011970445,6.0366349151436225,2.9966923080612777,14.80640957304064,0.8998896847225045,0.8077869606704262,0.5480483381009952,0.2727536632140397,18.191748811596135,0.08095765817607234,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
104.32056763672841,41.72417875447424,11.579530354969506,4.894074020659663,2.993072756572075,14.81879326455039,0.8986478999929374,0.7302768094711838,0.549688866155741,0.25274088376043774,23.57277405188656,0.1688079576618907,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
104.93244896703844,46.30330000050519,3.9247966052535745,6.035848810517178,2.9155755980331524,14.79867041985253,0.8999447264367048,0.7628779337926592,0.5480558898805462,0.25548330958059257,26.173859620977826,0.09638318590825015,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
118.71882294884652,61.07715391881294,11.142222675692524,4.768650935513044,2.992461575773206,14.691988941030667,0.8998445830218699,0.7256467841505138,0.5489065983245736,0.2132493618978128,34.393026816140726,0.14813890417528847,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
122.72054150919007,65.72223174532043,7.721872178968178,7.807104205013831,2.906653321959805,14.94131952094086,0.8996650912552072,0.7302985232328987,0.5496853737714419,0.22179247251191256,36.96801070453065,0.13474674938697004,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
111.61969341715637,51.06196536632778,18.754642311738895,9.454445584853465,2.9949062837362543,14.72576228612546,0.8996046785146102,0.7300828583868527,0.5491570473371585,0.21323730657136036,28.79925316362649,0.17097794546337508,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
117.87666514010218,69.99789047900607,18.43019119324261,4.617045018895142,2.992500172758652,14.740000641450859,0.8994018557265766,0.811141379829486,0.5480718090247814,0.11254724082522229,39.48470718072253,0.09048815771731025,DC-D,SRVCHP_SBORC,R1233zd(E),R152a,Cold-plate liquid (Summer)
