wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.13126292471070397,34.27143159988136,0.06718762985486325,85.06300354618097,59.99976370441889,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.13183519510122116,34.24703059333636,0.10371191788439246,86.89144395642226,59.99992218826022,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.13317184879346433,34.26933976072497,0.07332585680412577,85.2226540418699,59.999825259103076,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.1340111517074196,34.24297200550557,0.1055549606479981,87.1912121398421,59.99989433031342,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.13871311605306413,34.27143159988136,0.03593695155702716,85.06300354618097,59.99976370441889,,,,,
DC-A,SBVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SBVCHP_SBORC_R245fa_R227ea.csv,0.14414473390213406,34.23357654882201,0.11451986524320364,87.88566953837386,59.99989305183829,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.1544726106479542,34.2583424954316,0.08483067492908991,86.04957216973538,59.999921600226955,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.1554392525944369,34.229215529242275,0.1168614314207703,88.21109514350765,59.99998978707741,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.16339999614241038,34.25963476347759,0.052165867245575315,85.94457937486783,59.99972277361847,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.16928504983617843,34.25113482601696,0.08774280825025059,86.58333838788701,59.99984773175815,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.17386403489418928,34.250078271886004,0.07946423234947217,86.654632800605,59.999677784669274,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.17941955483197453,34.24677838168972,0.08218837795210047,86.89973898120574,59.999677784669274,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.18642866225559476,34.23761529529134,0.11174801860301714,87.57835797190971,59.99967776703073,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.19041098250051658,34.227628057770566,0.11526515591670897,87.81043012616752,59.98776404821711,,,,,
DC-A,SBVCHP_SBORC,R600,R227ea,pareto_DC-A_SBVCHP_SBORC_R600_R227ea.csv,0.19373330581277665,34.17803278118832,0.1501835942296418,91.47022894296751,59.9887466489962,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.2068826483209926,34.229711579868294,0.10299115545012713,88.15761082464783,59.99958863424426,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.20957958542786082,34.18225523451497,0.14630209853445608,91.63124867029087,59.99999534775154,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.2200290637367938,34.22653510055643,0.08275670139177749,88.40548481986242,59.9999238039611,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.22090838138144675,34.22653510055643,0.08004562832901674,88.40548481986242,59.9999238039611,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.22208717141892684,34.22384971775512,0.06747993218071896,88.56905821599528,59.99912422819772,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.23604832714014584,34.21449176071035,0.09430257310511737,89.24745637065382,59.99894808045448,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.2380142843436901,34.215061442169606,0.0883383816349858,89.24301274746666,59.99983426539174,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.24264356078937785,34.1153061558943,0.19538020895984468,96.37001934388687,59.99953472412787,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.2474597585673891,34.113995626962904,0.19635134828231926,96.47804564796279,59.99993750787297,,,,,
DC-A,SRVCHP_SRORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SRORC_R1233zd(E)_R227ea.csv,0.2506400174404772,34.112950796117936,0.19642207231307904,96.53507101848669,59.99953472412787,,,,,
DC-A,SRVCHP_SRORC,R600,R227ea,pareto_DC-A_SRVCHP_SRORC_R600_R227ea.csv,0.25503515570377394,34.10446132388712,0.20309560235222698,97.14553272061724,59.99995478705219,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.26677515810924257,34.18778672398568,0.11840967210847028,91.23056447829264,59.99995738805623,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.26838616766432544,34.18585445850656,0.12968224556863633,91.36226245195917,59.999768351918036,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.27360216791923253,34.117353487526664,0.1911121547808627,96.24477840517922,59.99999106980527,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.2814388958356069,34.17593449717796,0.13223376831663758,92.07920760707623,59.9998275729577,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.28969255018118667,34.177604907335095,0.09341999759405058,91.95911010064665,59.999827547794986,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.29193706056706986,34.14776087803587,0.18502793599285672,94.09274724443193,59.99984723567505,,,,,
DC-A,SRVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SRVCHP_SBORC_R1233zd(E)_R227ea.csv,0.2997679032062418,34.16464699934546,0.12250002578274446,92.88832652297786,59.999823880159134,,,,,
DC-A,SRVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SRVCHP_SBORC_R600_R1234ze(E).csv,0.3081129595362615,34.058286405303356,0.22796773606755916,100.32901487329863,59.99962885666699,,,,,
DC-A,SRVCHP_SBORC,R245fa,R227ea,pareto_DC-A_SRVCHP_SBORC_R245fa_R227ea.csv,0.31166199149311213,34.1403002261284,0.019344622909810667,94.61490231306338,59.99967776703073,,,,,
DC-A,SRVCHP_SBORC,R600,R227ea,pareto_DC-A_SRVCHP_SBORC_R600_R227ea.csv,0.320657557341455,34.13679678428247,0.14240385540103914,94.7451461700518,59.99677676831795,,,,,
