wp,config,fluid_hp,fluid_he,file,eta_p2p,energy_density_thermal,exergy_efficiency,T_st_ht,dT_st_sp,T_st_lt,cop_hp,eta_he,energy_density_electric,storage_volume
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.3281899447067257,30.368295449290788,0.19076253319684375,100.02737863745988,53.54229073554915,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.33410911072041316,26.525376634579363,0.26630673686010975,107.18529773221896,46.96805378456453,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.3397819493403847,23.57811197712204,0.2863275310361964,106.32317193376531,41.77181987132249,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.3450683719347599,27.90365359167916,0.15585521106138597,101.44568548051024,49.261126129730705,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.3477446284090117,21.71193257627175,0.2928215469270578,106.32317193376531,38.48923547895657,,,,,
DC-A,SBVCHP_SBORC,R600,R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R600_R1234ze(E).csv,0.3524387277578276,20.501992638235755,0.27340459742967366,102.17734214080974,36.28968938328616,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.35643904070357524,24.672449927949938,0.2263126084604595,98.09936925276882,43.53346302085324,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.3661013652964088,14.637464864496069,0.31028559700429537,106.12396878581303,26.01037304796151,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R1234ze(E),pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R1234ze(E).csv,0.36873991238883275,22.755517609327008,0.2532974935279604,103.762529312158,40.27795512963715,,,,,
DC-A,SBVCHP_SBORC,R1233zd(E),R227ea,pareto_DC-A_SBVCHP_SBORC_R1233zd(E)_R227ea.csv,0.37116366038051135,23.435594858954275,0.2245174419007986,99.77267582408635,41.39773108069088,,,,,
