7.99891111, 44.69418463, 0.80181441, 2.50061905, 
7.99891111, 44.69418463, 0.80181441, 2.50061905, 
7.88536076, 44.69809773, 0.80166222, 2.50008982, 
7.88536076, 44.69809773, 0.80166222, 2.50008982, 
7.99423762, 44.69310605, 0.80163102, 2.50061905, 
7.99972715, 44.69422200, 0.79539803, 2.50688873, 
7.99925805, 44.69422200, 0.80346926, 2.50614147, 
7.99924471, 44.69295631, 0.80273053, 2.50061905, 
7.99932368, 44.69422200, 0.80543427, 2.50688873, 
7.99932368, 44.69422200, 0.80543427, 2.50688873, 
7.99920522, 44.69422200, 0.80266417, 2.50614147, 
7.99491835, 44.69318420, 0.80205800, 2.50037539, 
7.99900471, 44.69422200, 0.80253500, 2.50271438, 
7.89326967, 44.69614855, 0.80174489, 2.50035246, 
7.89326967, 44.69614855, 0.80174489, 2.50035246, 
7.97743963, 44.69279047, 0.80181441, 2.50061905, 
7.97743963, 44.69279047, 0.80181441, 2.50061905, 
7.97743963, 44.69279047, 0.80181441, 2.50061905, 
7.97743963, 44.69279047, 0.80181441, 2.50061905, 
7.97743963, 44.69279047, 0.80181441, 2.50061905, 
4.05912399, 44.68645589, 0.80170717, 2.50035246, 
7.99016768, 44.69279993, 0.80151349, 2.50061905, 
7.99925555, 44.69422200, 0.80508518, 2.50688873, 
7.99924471, 44.69292608, 0.80273053, 2.50061905, 
7.99929698, 44.69422200, 0.80543427, 2.50688873, 
7.99905434, 44.69422200, 0.80334029, 2.50400389, 
7.99919019, 44.69422200, 0.80253500, 2.50848273, 
7.99491835, 44.69315398, 0.80205800, 2.50037539, 
7.99900471, 44.69422200, 0.80253500, 2.50400389, 
7.99835818, 44.69314687, 0.80268335, 2.50235454, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
7.77414647, 44.68480528, 0.80175825, 2.50061905, 
4.05912399, 44.69614855, 0.80174489, 2.50035246, 
4.05912399, 44.69614855, 0.80174489, 2.50035246, 
7.85776120, 44.69614855, 0.80174489, 2.50072496, 
7.85776120, 44.69614855, 0.80174489, 2.50072496, 
4.05912399, 44.68644977, 0.80170717, 2.50035246, 
7.88536076, 44.69809773, 0.80205800, 2.50008982, 
7.88536076, 44.69809773, 0.80205800, 2.50008982, 
7.88536076, 44.69809773, 0.80205800, 2.50008982, 
7.88536076, 44.69809773, 0.80205800, 2.50008982, 
7.99925805, 44.69422200, 0.80543427, 2.50688873, 
7.99016768, 44.69310605, 0.80205800, 2.50061905, 
7.84827937, 44.68480528, 0.80179821, 2.50061905, 
7.84827937, 44.68480528, 0.80179821, 2.50061905, 
7.84827937, 44.69448421, 0.80183594, 2.50061905, 
7.99900471, 44.69422200, 0.80253500, 2.50848273, 
7.84827937, 44.69448421, 0.80183594, 2.50061905, 
7.99491835, 44.69315398, 0.80205800, 2.50235502, 
7.99595567, 44.69304519, 0.80205800, 2.50387502, 
