wp,cfg,fluid_hp,fluid_he,source_s2_seed,source_s2_run_id,candidate_key,selection_rank,selected_reason,selected_union_hv_before_step,selection_incremental_hv,selected_union_hv_after_step,requires_s5_review,config_front_point_count,wp_global_front_point_count,candidate_normalized_hv
DC-B,SRVCHP_SRORC,R600,R227EA,42,S2_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260717T060425Z,DC-B|SRVCHP_SRORC|R600|R227EA,2,extreme_energy_density_thermal,0.10508337676167526,0.00415741816383601,0.10924079492551127,True,219,151,0.07943182622898907
DC-B,SRVCHP_SRORC,R245fa,R227EA,42,S2_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260717T060425Z,DC-B|SRVCHP_SRORC|R245fa|R227EA,3,greedy_incremental_hypervolume,0.10924079492551127,0.00021060650374649104,0.10945140142925776,False,256,229,0.08053280047275103
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,42,S2_DCB_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,DC-B|SRVCHP_SRORC|Cyclopentane|R236ea,4,greedy_incremental_hypervolume,0.10945140142925776,0.0001472015191506526,0.10959860294840841,False,149,149,0.09888053043476548
DC-B,SRVCHP_SRORC,R601a,R227EA,42,S2_DCB_SRVCHP-SRORC_R601a_R227EA_seed042_20260717T060425Z,DC-B|SRVCHP_SRORC|R601a|R227EA,5,greedy_incremental_hypervolume,0.10959860294840841,5.183299358232918e-05,0.10965043594199074,False,123,113,0.08085147468371387
DC-C,SBVCHP_SBORC,Acetone,R245fa,42,S2_DCC_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,DC-C|SBVCHP_SBORC|Acetone|R245fa,1,extreme_eta_p2p;extreme_exergy_efficiency,0.0,0.1616105560038779,0.1616105560038779,True,927,14,0.1616105560038779
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,42,S2_DCC_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-C|SBVCHP_SBORC|R1233zd(E)|R227EA,2,extreme_energy_density_thermal,0.1616105560038779,8.39874084458958e-05,0.16169454341232378,True,333,309,0.11376654561599506
DC-C,SBVCHP_SBORC,Acetone,R600,42,S2_DCC_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,DC-C|SBVCHP_SBORC|Acetone|R600,3,greedy_incremental_hypervolume,0.16169454341232378,0.0004614276717245791,0.16215597108404836,False,435,0,0.15676718776292045
DC-C,SBVCHP_SBORC,Acetone,R236fa,42,S2_DCC_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,DC-C|SBVCHP_SBORC|Acetone|R236fa,4,greedy_incremental_hypervolume,0.16215597108404836,0.00023476789178722424,0.16239073897583559,False,384,72,0.14876131221274075
DC-C,SBVCHP_SBORC,Acetone,R600a,42,S2_DCC_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,DC-C|SBVCHP_SBORC|Acetone|R600a,5,greedy_incremental_hypervolume,0.16239073897583559,0.00015399474005486913,0.16254473371589045,False,295,2,0.154235132972344
DC-C,SRVCHP_SRORC,Acetone,R236ea,42,S2_DCC_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,DC-C|SRVCHP_SRORC|Acetone|R236ea,1,extreme_eta_p2p,0.0,0.1888728765235817,0.1888728765235817,True,751,751,0.1888728765235817
DC-C,SRVCHP_SRORC,Cyclopentane,R600,42,S2_DCC_SRVCHP-SRORC_Cyclopentane_R600_seed042_20260717T060425Z,DC-C|SRVCHP_SRORC|Cyclopentane|R600,2,extreme_exergy_efficiency,0.1888728765235817,0.0032736789161045277,0.19214655543968623,True,383,383,0.18680640604819534
DC-C,SRVCHP_SRORC,R600,R236ea,42,S2_DCC_SRVCHP-SRORC_R600_R236ea_seed042_20260717T060425Z,DC-C|SRVCHP_SRORC|R600|R236ea,3,extreme_energy_density_thermal,0.19214655543968623,5.051194436681006e-05,0.19219706738405304,True,16,2,0.17890787007920403
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,42,S2_DCC_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260717T060425Z,DC-C|SRVCHP_SRORC|Cyclopentane|R236ea,4,greedy_incremental_hypervolume,0.19219706738405304,0.0005613414169168551,0.1927584088009699,False,430,430,0.1873228720143471
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCC_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-C|SRVCHP_SRORC|R1233zd(E)|R227EA,5,greedy_incremental_hypervolume,0.1927584088009699,0.00031495156597260987,0.1930733603669425,False,209,209,0.16262292934140635
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,42,S2_DCD_SBVCHP-SBORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-D|SBVCHP_SBORC|R1233zd(E)|R227EA,1,extreme_energy_density_thermal,0.0,0.0714722116173266,0.0714722116173266,True,444,429,0.0714722116173266
DC-D,SBVCHP_SBORC,Acetone,R365MFC,42,S2_DCD_SBVCHP-SBORC_Acetone_R365MFC_seed042_20260717T060425Z,DC-D|SBVCHP_SBORC|Acetone|R365MFC,2,extreme_eta_p2p;extreme_exergy_efficiency,0.0714722116173266,0.04209579503575114,0.11356800665307774,True,423,0,0.11338943130294589
DC-D,SBVCHP_SBORC,Acetone,R236fa,42,S2_DCD_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,DC-D|SBVCHP_SBORC|Acetone|R236fa,3,greedy_incremental_hypervolume,0.11356800665307774,0.002064636616711274,0.11563264326978902,False,330,12,0.10492025408289514
DC-D,SBVCHP_SBORC,Acetone,R245fa,42,S2_DCD_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,DC-D|SBVCHP_SBORC|Acetone|R245fa,4,greedy_incremental_hypervolume,0.11563264326978902,0.0004379765890847459,0.11607061985887376,False,298,0,0.11279748076092934
DC-D,SBVCHP_SBORC,Acetone,R236ea,42,S2_DCD_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z,DC-D|SBVCHP_SBORC|Acetone|R236ea,5,greedy_incremental_hypervolume,0.11607061985887376,4.260031671421416e-05,0.11611322017558798,False,173,0,0.10679240665689599
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,42,S2_DCD_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,DC-D|SRVCHP_SRORC|Cyclopentane|R365MFC,1,extreme_eta_p2p;extreme_exergy_efficiency,0.0,0.13893055923091185,0.13893055923091185,True,433,433,0.13893055923091185
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCD_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-D|SRVCHP_SRORC|R1233zd(E)|R227EA,2,extreme_energy_density_thermal,0.13893055923091185,0.005946073900518656,0.1448766331314305,True,162,159,0.10904284543095703
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,42,S2_DCD_SRVCHP-SRORC_Cyclopentane_R227EA_seed042_20260720T015713Z,DC-D|SRVCHP_SRORC|Cyclopentane|R227EA,3,greedy_incremental_hypervolume,0.1448766331314305,0.002002475656151803,0.1468791087875823,False,145,145,0.1156084152938021
DC-D,SRVCHP_SRORC,Acetone,R365MFC,42,S2_DCD_SRVCHP-SRORC_Acetone_R365MFC_seed042_20260717T060425Z,DC-D|SRVCHP_SRORC|Acetone|R365MFC,4,greedy_incremental_hypervolume,0.1468791087875823,0.000583590457238603,0.14746269924482092,False,426,426,0.13867497766356174
DC-D,SRVCHP_SRORC,Acetone,R236ea,42,S2_DCD_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,DC-D|SRVCHP_SRORC|Acetone|R236ea,5,greedy_incremental_hypervolume,0.14746269924482092,0.00031927181828969586,0.1477819710631106,False,208,208,0.13173395674267363
DC-E,SBVCHP_SBORC,Acetone,R600,42,S2_DCE_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,DC-E|SBVCHP_SBORC|Acetone|R600,1,extreme_exergy_efficiency,0.0,0.19270393821854928,0.19270393821854928,True,693,0,0.19270393821854928
DC-E,SBVCHP_SBORC,Acetone,R600a,42,S2_DCE_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,DC-E|SBVCHP_SBORC|Acetone|R600a,2,extreme_eta_p2p,0.19270393821854928,0.0022484911674529873,0.19495242938600227,True,411,40,0.1895396122970675
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,42,S2_DCE_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,DC-E|SBVCHP_SBORC|Cyclopentane|R227EA,3,extreme_energy_density_thermal,0.19495242938600227,0.00021901621218722855,0.1951714455981895,True,277,227,0.16004743698898452
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),42,S2_DCE_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260717T060425Z,DC-E|SBVCHP_SBORC|Acetone|R1234ze(E),4,greedy_incremental_hypervolume,0.1951714455981895,0.0014062537761482807,0.19657769937433778,False,329,7,0.17766438425569506
DC-E,SBVCHP_SBORC,Acetone,R236ea,42,S2_DCE_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z,DC-E|SBVCHP_SBORC|Acetone|R236ea,5,greedy_incremental_hypervolume,0.19657769937433778,0.0005602017142672666,0.19713790108860504,False,666,17,0.18624439251380628
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,42,S2_DCE_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260717T060425Z,DC-E|SRVCHP_SRORC|Cyclopentane|R245fa,1,extreme_exergy_efficiency,0.0,0.21748169096598965,0.21748169096598965,True,536,536,0.21748169096598965
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,42,S2_DCE_SRVCHP-SRORC_Cyclopentane_R227EA_seed042_20260717T060425Z,DC-E|SRVCHP_SRORC|Cyclopentane|R227EA,2,extreme_energy_density_thermal,0.21748169096598965,0.007407424069173912,0.22488911503516357,True,386,386,0.20169427786922373
DC-E,SRVCHP_SRORC,R601a,R600,42,S2_DCE_SRVCHP-SRORC_R601a_R600_seed042_20260717T060425Z,DC-E|SRVCHP_SRORC|R601a|R600,3,extreme_eta_p2p,0.22488911503516357,6.649054443175206e-05,0.22495560557959532,True,4,1,0.20588149276222723
DC-E,SRVCHP_SRORC,Acetone,R236ea,42,S2_DCE_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,DC-E|SRVCHP_SRORC|Acetone|R236ea,4,greedy_incremental_hypervolume,0.22495560557959532,0.0017588178363128482,0.22671442341590817,False,617,616,0.2198171718454308
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCE_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-E|SRVCHP_SRORC|R1233zd(E)|R227EA,5,greedy_incremental_hypervolume,0.22671442341590817,0.0010050033495087596,0.22771942676541693,False,157,157,0.19809734929354533
DC-F,SBVCHP_SBORC,Acetone,R365MFC,42,S2_DCF_SBVCHP-SBORC_Acetone_R365MFC_seed042_20260717T060425Z,DC-F|SBVCHP_SBORC|Acetone|R365MFC,1,extreme_exergy_efficiency,0.0,0.13803692106618742,0.13803692106618742,True,565,0,0.13803692106618742
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,42,S2_DCF_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260717T060425Z,DC-F|SBVCHP_SBORC|Cyclopentane|R227EA,2,extreme_energy_density_thermal,0.13803692106618742,0.005795368802710726,0.14383228986889815,True,312,304,0.11508249882287827
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,42,S2_DCF_SBVCHP-SBORC_Cyclopentane_R236ea_seed042_20260717T060425Z,DC-F|SBVCHP_SBORC|Cyclopentane|R236ea,3,extreme_eta_p2p,0.14383228986889815,0.0014536104194539379,0.1452859002883521,True,66,0,0.12167422312862756
DC-F,SBVCHP_SBORC,Acetone,R236fa,42,S2_DCF_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,DC-F|SBVCHP_SBORC|Acetone|R236fa,4,greedy_incremental_hypervolume,0.1452859002883521,0.0026097616428391313,0.14789566193119122,False,483,4,0.13587531848960938
DC-F,SBVCHP_SBORC,Acetone,R236ea,42,S2_DCF_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z,DC-F|SBVCHP_SBORC|Acetone|R236ea,5,greedy_incremental_hypervolume,0.14789566193119122,0.0007581191721727776,0.148653781103364,False,347,0,0.13863209609416996
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,42,S2_DCF_SRVCHP-SRORC_Cyclopentane_R365MFC_seed042_20260717T060425Z,DC-F|SRVCHP_SRORC|Cyclopentane|R365MFC,1,extreme_eta_p2p;extreme_exergy_efficiency,0.0,0.15750465331224411,0.15750465331224411,True,443,443,0.15750465331224411
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,42,S2_DCF_SRVCHP-SRORC_CycloHexane_R227EA_seed042_20260717T060425Z,DC-F|SRVCHP_SRORC|CycloHexane|R227EA,2,extreme_energy_density_thermal,0.15750465331224411,0.01040598657466596,0.16791063988691007,True,176,136,0.13660305657028016
DC-F,SRVCHP_SRORC,Acetone,R365MFC,42,S2_DCF_SRVCHP-SRORC_Acetone_R365MFC_seed042_20260717T060425Z,DC-F|SRVCHP_SRORC|Acetone|R365MFC,3,greedy_incremental_hypervolume,0.16791063988691007,0.0026294015550740457,0.17054004144198412,False,473,473,0.15931049172382472
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,42,S2_DCF_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260717T060425Z,DC-F|SRVCHP_SRORC|R1233zd(E)|R227EA,4,greedy_incremental_hypervolume,0.17054004144198412,0.0005743924796942912,0.1711144339216784,False,221,167,0.1313020793082771
DC-F,SRVCHP_SRORC,Acetone,R236ea,42,S2_DCF_SRVCHP-SRORC_Acetone_R236ea_seed042_20260717T060425Z,DC-F|SRVCHP_SRORC|Acetone|R236ea,5,greedy_incremental_hypervolume,0.1711144339216784,0.0002372561896236136,0.17135169011130202,False,257,257,0.15027804569327696
