run_id,wp,cfg,fluid_hp,fluid_he,seed,sample_count,feasible_count,failure_count,feasible_rate
S1_DCB_SRVCHP-SRORC_R245fa_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R290,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R245fa_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R1234yf,42,256,82,174,0.3203125
S1_DCB_SBVCHP-SBORC_R245fa_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R290,42,256,55,201,0.21484375
S1_DCB_SRVCHP-SRORC_R245fa_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R227EA,42,256,64,192,0.25
S1_DCB_SRVCHP-SRORC_R245fa_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R245fa_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R600,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R245fa_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R245fa,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R245fa_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R236ea,42,256,125,131,0.48828125
S1_DCB_SBVCHP-SBORC_R245fa_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R236fa,42,256,126,130,0.4921875
S1_DCB_SRVCHP-SRORC_R245fa_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R600a,42,256,47,209,0.18359375
S1_DCB_SRVCHP-SRORC_R245fa_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R245fa,42,256,58,198,0.2265625
S1_DCB_SRVCHP-SRORC_R245fa_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R600,42,256,61,195,0.23828125
S1_DCB_SBVCHP-SBORC_R245fa_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R245fa,R365MFC,42,256,123,133,0.48046875
S1_DCB_SBVCHP-SBORC_R600_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R1234ze(E),42,256,108,148,0.421875
S1_DCB_SRVCHP-SRORC_R245fa_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R236ea,42,256,72,184,0.28125
S1_DCB_SBVCHP-SBORC_R600_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R227EA,42,256,103,153,0.40234375
S1_DCB_SBVCHP-SBORC_R600_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R134a,42,256,64,192,0.25
S1_DCB_SRVCHP-SRORC_R600_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R1234ze(E),42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R245fa_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R236fa,42,256,62,194,0.2421875
S1_DCB_SRVCHP-SRORC_R245fa_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R245fa,R365MFC,42,256,75,181,0.29296875
S1_DCB_SBVCHP-SBORC_R600_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R152A,42,256,27,229,0.10546875
S1_DCB_SBVCHP-SBORC_R600_R600a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R600a,42,256,119,137,0.46484375
S1_DCB_SRVCHP-SRORC_R600_R134a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R134a,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R600_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R152A,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R600_R227EA_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R227EA,42,256,66,190,0.2578125
S1_DCB_SBVCHP-SBORC_R600_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R1234yf,42,256,80,176,0.3125
S1_DCB_SBVCHP-SBORC_R600_R290_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R290,42,256,53,203,0.20703125
S1_DCB_SRVCHP-SRORC_R600_R290_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R290,42,256,0,256,0.0
S1_DCB_SRVCHP-SRORC_R600_R1234yf_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R1234yf,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R600_R600_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R600,42,256,120,136,0.46875
S1_DCB_SBVCHP-SBORC_R600_R245fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R245fa,42,256,120,136,0.46875
S1_DCB_SBVCHP-SBORC_R600_R236ea_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R236ea,42,256,122,134,0.4765625
S1_DCB_SBVCHP-SBORC_R600_R236fa_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R236fa,42,256,123,133,0.48046875
S1_DCB_SRVCHP-SRORC_R600_R600_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R600,42,256,65,191,0.25390625
S1_DCB_SRVCHP-SRORC_R600_R600a_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R600a,42,256,49,207,0.19140625
S1_DCB_SRVCHP-SRORC_R600_R245fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R245fa,42,256,62,194,0.2421875
S1_DCB_SBVCHP-SBORC_R600_R365MFC_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R600,R365MFC,42,256,120,136,0.46875
S1_DCB_SBVCHP-SBORC_R601_R1234zeE_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R1234ze(E),42,256,40,216,0.15625
S1_DCB_SBVCHP-SBORC_R601_R227EA_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R227EA,42,256,39,217,0.15234375
S1_DCB_SRVCHP-SRORC_R600_R236ea_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R236ea,42,256,76,180,0.296875
S1_DCB_SBVCHP-SBORC_R601_R134a_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R134a,42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R601_R1234zeE_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R1234ze(E),42,256,32,224,0.125
S1_DCB_SRVCHP-SRORC_R600_R236fa_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R236fa,42,256,65,191,0.25390625
S1_DCB_SRVCHP-SRORC_R600_R365MFC_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R600,R365MFC,42,256,79,177,0.30859375
S1_DCB_SBVCHP-SBORC_R601_R152A_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R152A,42,256,15,241,0.05859375
S1_DCB_SRVCHP-SRORC_R601_R152A_seed042_20260716T121618Z,DC-B,SRVCHP_SRORC,R601,R152A,42,256,0,256,0.0
S1_DCB_SBVCHP-SBORC_R601_R1234yf_seed042_20260716T121618Z,DC-B,SBVCHP_SBORC,R601,R1234yf,42,256,39,217,0.15234375
