run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,exit_code,elapsed_s,run_dir,detail
S1_DCB_SRVCHP-SRORC_R1233zdE_R600a_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R600a,42,FINISHED,0,20.92693305015564,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R600a_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R245fa_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R245fa,42,FINISHED,0,11.287233829498291,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R245fa_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R600_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R600,42,FINISHED,0,18.33121085166931,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R600_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R236ea,42,FINISHED,0,13.710529088973999,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R236ea_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R236fa_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R236fa,42,FINISHED,0,13.688111543655396,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R236fa_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R245fa_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R245fa,42,FINISHED,0,17.955703496932983,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R245fa_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R1233zdE_R365MFC_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R1233zd(E),R365MFC,42,FINISHED,0,15.091299772262573,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R1233zdE_R365MFC_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R1234zeE_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R1234ze(E),42,FINISHED,0,14.893635034561157,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R1234zeE_seed042_20260716T121618Z,
S1_DCB_SRVCHP-SRORC_R1233zdE_R236ea_seed042_20260716T121618Z,S1,DC-B,SRVCHP_SRORC,R1233zd(E),R236ea,42,FINISHED,0,33.007225036621094,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SRVCHP-SRORC_R1233zdE_R236ea_seed042_20260716T121618Z,
S1_DCB_SBVCHP-SBORC_R245fa_R227EA_seed042_20260716T121618Z,S1,DC-B,SBVCHP_SBORC,R245fa,R227EA,42,FINISHED,0,19.69661784172058,${CBSIM_RUNS_ROOT}/S1_FORMAL/BATCH_S1_20260716T121618Z/runs/S1_DCB_SBVCHP-SBORC_R245fa_R227EA_seed042_20260716T121618Z,
