run_id,stage,wp,cfg,fluid_hp,fluid_he,seed,scheduler_status,terminal_status,exit_code,elapsed_s,git_commit,git_dirty,config_sha256,start_time_utc,end_time_utc,evaluation_count,feasible_count,failure_count,pareto_size,completed_generations,stopping_reason,final_normalized_hypervolume,final_hv_relative_improvement,hv_converged,raw_archive_size,front_revalidation_solver_calls,revalidation_quarantined_count,run_dir,manifest_path,detail,canonical_source_batch,supersedes_run_id,supersedes_run_dir,accepted_for_s3,run_manifest_sha256,run_checksums_sha256
S2_DCD_SRVCHP-SRORC_R601a_R236ea_seed042_20260717T060425Z,S2,DC-D,SRVCHP_SRORC,R601a,R236ea,42,FINISHED,COMPLETED,0,789.3800065517426,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T07:50:50Z,2026-07-17T08:03:58Z,6632,6252,380,1072,150,hypervolume_converged,0.1247994562865582,0.0036527056172308,True,1072,2144,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCD_SRVCHP-SRORC_R601a_R236ea_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCD_SRVCHP-SRORC_R601a_R236ea_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,f6f146d2d8b4dd53132b7975fb43955a57b5f5f828a9c22b99f9f8c3fa0b210a,3305b5c5c27af6e36a3501dbf1c7ec84efa6ffb7fe060b93da1344d25671ddd3
S2_DCD_SRVCHP-SRORC_R601a_R365MFC_seed042_20260717T060425Z,S2,DC-D,SRVCHP_SRORC,R601a,R365MFC,42,FINISHED,COMPLETED,0,182.9195017814636,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T07:33:16Z,2026-07-17T07:36:17Z,6538,5980,558,1287,150,hypervolume_converged,0.1321688013512753,0.0030625946021453,True,1287,2574,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCD_SRVCHP-SRORC_R601a_R365MFC_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCD_SRVCHP-SRORC_R601a_R365MFC_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,8e17ea42d4aefbcf7a1121e253761111b843a208cb54b9f7bcc83f3ed13867ba,a6dcb74912d35b20f62b9f34b55720c91e598d3ef87455adce3b09e20af7c238
S2_DCE_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),42,FINISHED,COMPLETED,0,254.37813901901245,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:44:30Z,2026-07-17T08:48:43Z,6621,5573,1048,1209,150,hypervolume_converged,0.1777157754868278,0.0039675692768046,True,1228,2456,15,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R1234zeE_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,d506da23ae70c8ee3efcf8634c6bea709809d40e6dbcfb6ef1e49b935e1b062e,5aedd0ce43d95a4cb3d3da4d888ed7c77df216434eb1c56eaba7e23f4ec375d8
S2_DCE_SBVCHP-SBORC_Acetone_R134a_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R134a,42,FINISHED,COMPLETED,0,317.45361709594727,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:50:50Z,2026-07-17T08:56:06Z,8939,6244,2695,1107,202,hypervolume_converged,0.1487459358100983,0.0042872869339957,True,1126,2252,15,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R134a_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R134a_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,0b13cedb6c888e403526a9c5154ab8b05b28b2be8ebc1f23ee0515050ae74a87,cdb9c1e137ae5ef388f0d498c56ad1f8a58a7267c3adc18dd63740084c02b7a1
S2_DCE_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R236ea,42,FINISHED,COMPLETED,0,239.12628769874573,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:34:42Z,2026-07-17T08:38:39Z,9126,8352,774,1602,208,hypervolume_converged,0.1862576501375859,0.0046383449304597,True,1607,3214,5,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R236ea_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,cb9a25f5566945bc6215a72702154fd30300cedfc3bdc58cf46093e18653cb6e,71964fe1ae353490f55f0df5745b59222b09bc6178b593f6dfbceabdd7f511c5
S2_DCE_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R236fa,42,FINISHED,COMPLETED,0,267.6586468219757,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:38:46Z,2026-07-17T08:43:12Z,6602,5925,677,1240,150,hypervolume_converged,0.1843900397075689,0.0023600629224563,True,1248,2496,7,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R236fa_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,8711f21b8d75929f4690dadace3461095155826022df01f0b15f2ea780ca989f,96d82e31f30a6a813f3b8b7f5ce0a8bd33446503a7c35f9ef60c2d07bced4c2e
S2_DCE_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R245fa,42,FINISHED,COMPLETED,0,200.1815221309662,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:31:21Z,2026-07-17T08:34:40Z,6622,6018,604,1171,151,hypervolume_converged,0.1899858330855081,0.0043617724843828,True,1174,2348,0,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R245fa_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,a337c87eeee362e8bdda4c0f439d4339973f10641bfa4a5e82289cf4d28d43f5,235e193349241b0968b7b66123845b863f355f64709bfc0dbd0d7a0b2c2a07bb
S2_DCE_SBVCHP-SBORC_Acetone_R290_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R290,42,FINISHED,COMPLETED,0,420.3568618297577,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:52:53Z,2026-07-17T08:59:51Z,9380,6260,3120,1259,214,hypervolume_converged,0.1424769327567835,0.0035182402850347,True,1267,2534,5,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R290_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R290_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,0fd6f25df568f73c10947a11a16ce8bfe310eedc46d39c6d9670727a87561a95,2d8dbed301ae23fbf92a384bc33dc2b35de7690ee2e52983cc56a07502ad2e5d
S2_DCE_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R600,42,FINISHED,COMPLETED,0,237.28019332885745,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:31:46Z,2026-07-17T08:35:41Z,8178,7523,655,1655,186,hypervolume_converged,0.1927075312581087,0.0031681643641147,True,1661,3322,3,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R600_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,c80aecc3eb0c8bb5098c65a3fcbdaa84312c3811146b5b7d167093ab5a8772e1,baa58c4855b500d02377128f92291e34431dd2dbfb77eed6b110f6a3c15f2037
S2_DCE_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,S2,DC-E,SBVCHP_SBORC,Acetone,R600a,42,FINISHED,COMPLETED,0,237.87133049964905,28632b8eecf359a056ddde69e35ae7338cf31be5,False,58316595e50d4ab2d69d17ea45335b5ce247feb742f7b2fedb72bb2959ea62b0,2026-07-17T08:38:41Z,2026-07-17T08:42:37Z,7761,6900,861,1293,178,hypervolume_converged,0.1895528013247786,0.0045123935106501,True,1303,2606,7,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z,${CBSIM_RUNS_ROOT}/S2_FORMAL/BATCH_S2_20260717T060425Z/runs/S2_DCE_SBVCHP-SBORC_Acetone_R600a_seed042_20260717T060425Z/metadata/manifest.json,,BATCH_S2_20260717T060425Z,,,True,39dda0fe76a070a7c6a002ef2fef19237bf2040aa44de0005e89151fbf4c8a45,a03fae881adf94d73925cc847245a72e95ddfb9ae9121fdd8aec0f76239d4100
