wp,cfg,fluid_hp,fluid_he,seed,run_id,certified_normalized_hypervolume,eta_p2p_maximum,energy_density_thermal_maximum,exergy_efficiency_maximum,igd_plus_to_union
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,17,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed017_20260720T095135Z,0.14650890502336758,0.5974942963428446,34.05314574756028,0.4163750444254762,0.0015122748447738306
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,42,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed042_20260720T095135Z,0.14646123926109952,0.597446220996406,34.05310694831538,0.416787894902329,0.0022512297383052477
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,73,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed073_20260720T095135Z,0.14618513990582677,0.6051179237230143,34.05166371607993,0.4163733705485035,0.0034887825840599833
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,101,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed101_20260720T095135Z,0.14703231392409852,0.5977535193367453,34.05212443241179,0.4169333117161597,0.0011116880987242894
DC-A,SRVCHP_SRORC,Cyclopentane,R236ea,202,S4_DCA_SRVCHP-SRORC_Cyclopentane_R236ea_seed202_20260721T031641Z,0.14654857492156195,0.5987951189751824,34.06487400927352,0.4166488159657947,0.0018696553462824843
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,17,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed017_20260720T095135Z,0.14813979208399122,0.60213149929899,33.93911993349826,0.4246338613094294,0.002243213361427428
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,42,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed042_20260720T095135Z,0.14830022368164963,0.6064349500497043,33.9560167557684,0.4244963928239787,0.0020248788924178396
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,73,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed073_20260720T095135Z,0.1473147284267784,0.6025468829439916,34.04354338383123,0.4241172413810035,0.004283972815969213
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,101,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed101_20260720T095135Z,0.14826103307405447,0.5967937639050234,33.94684942341299,0.425528830964027,0.0016744266212480837
DC-A,SRVCHP_SRORC,Cyclopentane,R245fa,202,S4_DCA_SRVCHP-SRORC_Cyclopentane_R245fa_seed202_20260720T095135Z,0.14822035691752064,0.5983644377115742,33.972563900738045,0.4249967476139313,0.0017194240884796737
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,17,S4_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed017_20260720T095135Z,0.12403900651946577,0.5562967826515396,34.12277840805541,0.3607960776420208,0.0026440323203059473
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,42,S4_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed042_20260720T095135Z,0.1254999904762114,0.5586962983955105,34.12033105685661,0.3641658815311718,0.001291109752658677
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,73,S4_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed073_20260720T095135Z,0.12606562513582556,0.5673150045421931,34.12655610305442,0.3633432624472331,0.0011658319046719036
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,101,S4_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed101_20260720T095135Z,0.12554832493311927,0.569275456132293,34.119691093705434,0.3630649354012798,0.0011302429437531766
DC-A,SRVCHP_SRORC,R1233zd(E),R227EA,202,S4_DCA_SRVCHP-SRORC_R1233zdE_R227EA_seed202_20260721T031641Z,0.12506515887444283,0.5654097290449508,34.1293500957162,0.3628453630505411,0.0019754179678885026
DC-A,SRVCHP_SRORC,R245fa,R227EA,17,S4_DCA_SRVCHP-SRORC_R245fa_R227EA_seed017_20260720T095135Z,0.12432506091421808,0.569115017163992,34.12119814773392,0.3612055238316102,0.0014006861196035865
DC-A,SRVCHP_SRORC,R245fa,R227EA,42,S4_DCA_SRVCHP-SRORC_R245fa_R227EA_seed042_20260721T031641Z,0.12270431888962964,0.5621543428800406,34.126605939644705,0.3596323094723745,0.0029410952676156656
DC-A,SRVCHP_SRORC,R245fa,R227EA,73,S4_DCA_SRVCHP-SRORC_R245fa_R227EA_seed073_20260720T095135Z,0.12380883594493167,0.5670578501176838,34.115327764619686,0.3610464934660349,0.0017323042963007659
DC-A,SRVCHP_SRORC,R245fa,R227EA,101,S4_DCA_SRVCHP-SRORC_R245fa_R227EA_seed101_20260720T095135Z,0.1243044555370851,0.5643084516153258,34.121678143617096,0.3618245760185846,0.0011856774693951736
DC-A,SRVCHP_SRORC,R245fa,R227EA,202,S4_DCA_SRVCHP-SRORC_R245fa_R227EA_seed202_20260720T095135Z,0.12282410261565477,0.5456684983242414,34.12250279060745,0.3613498488872911,0.0018392574875919746
DC-A,SRVCHP_SRORC,R600,R236ea,17,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed017_20260720T095135Z,0.13691048861549016,0.5770963802627977,34.059609532217095,0.3994965367761509,0.0017636100039925575
DC-A,SRVCHP_SRORC,R600,R236ea,42,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed042_20260720T095135Z,0.1377063096191613,0.5797926911950058,34.07858410120382,0.4007387045858498,0.0016382684273854545
DC-A,SRVCHP_SRORC,R600,R236ea,73,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed073_20260720T095135Z,0.13689048374546361,0.5804336295744781,34.05399832513368,0.3990028870906877,0.002224758743096306
DC-A,SRVCHP_SRORC,R600,R236ea,101,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed101_20260720T095135Z,0.13718479515845913,0.5895557105522455,34.06225210250517,0.3987286275982508,0.002313175935597975
DC-A,SRVCHP_SRORC,R600,R236ea,202,S4_DCA_SRVCHP-SRORC_R600_R236ea_seed202_20260720T095135Z,0.13659931453942892,0.5764331975202508,34.051296590920785,0.3982783305518951,0.0019757016526143743
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,17,S4_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed017_20260721T031641Z,0.0633312795599567,0.3702492763403981,34.04791470034807,0.2978543650003139,0.0016263415119429241
DC-B,SBVCHP_SBORC,Cyclopentane,R227EA,42,S4_DCB_SBVCHP-SBORC_Cyclopentane_R227EA_seed042_20260721T031641Z,0.06381502894059873,0.3699211698472959,34.0482251823287,0.2994535185461813,0.0005972257985802277
